1,2042545141,247071625
2,2042444361,247337790
3,4,859295525,208400928
5,
6,
7,
8,
9,
10,
11,852232127,224211108
12,
13,
14,
15,
16,
17,
18,
19,
20,

21,22,
23,
24,
25,
26,
27,
28,
29,
30,889688145,224709985
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,857022820,224910149
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,842755504,224715292
61,
62,
63,
64,
65,
66,858460014,225184486
67,
68,
69,
70,857876210,224419654
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
